genotype,shocked,trackid,learningscore
dgrp217,false,51,0.02536484962774621
dgrp217,false,52,0.019395988112483137
dgrp217,false,53,0.05900817194161814
dgrp217,false,55,0.025090851054261815
dgrp217,false,56,0.033700964052691906
dgrp217,false,25,0.011039080343582613
dgrp217,false,26,0.04670362950290197
dgrp217,false,27,0.0072310350953740665
dgrp217,false,28,0.020252202740124348
dgrp217,false,29,0.025013598160858463
dgrp217,false,30,0.036825963513116095
dgrp217,false,31,0.020927407440626822
dgrp217,false,32,0.01793423246732559
dgrp217,false,57,0.004942809669847004
dgrp217,false,58,0.015921776425728756
dgrp217,false,59,0.004213635404738042
dgrp217,false,60,0.012571789484010581
dgrp217,false,61,0.02553365471181543
dgrp217,false,62,0.010469801469969675
dgrp217,false,63,0.02060443541602569
dgrp217,false,64,0.04889443254626469
dgrp217,true,1,0.02429105880222185
dgrp217,true,2,0.0018973884090313087
dgrp217,true,3,0.42020108658253974
dgrp217,true,33,0.023268834793520377
dgrp217,true,34,0.07472529137689526
dgrp217,true,35,0.006848198251266591
dgrp217,true,36,0.06280037208223763
dgrp217,true,37,0.058005072179942496
dgrp217,true,38,0.021837616562823542
dgrp217,true,39,0.0035749754168669656
dgrp217,true,4,0.034519524948409736
dgrp217,true,40,0.010269902320761165
dgrp217,true,5,0.043411323427247905
dgrp217,true,6,0.03017580541619469
dgrp217,true,7,0.08399865706257592
dgrp217,true,8,0.007069868271867008
dgrp217,true,10,0.13048899449838403
dgrp217,true,11,0.02393147877016144
dgrp217,true,12,0.028723113592402233
dgrp217,true,13,0.008584770275287035
dgrp217,true,15,0.061925002188325334
dgrp217,true,16,0.5559334034675854
dgrp217,true,41,0.11153577413520258
dgrp217,true,42,0.0955478579834678
dgrp217,true,43,0.027497306826711726
dgrp217,true,45,0.004046050531797213
dgrp217,true,46,0.003642549907554943
dgrp217,true,47,0.008558001599304838
dgrp217,true,48,0.03019406574465555
dgrp217,true,9,0.012761533231624711
dgrp227,false,17,0.031247160214213837
dgrp227,false,18,0.05055930784781812
dgrp227,false,19,0.004730855451440502
dgrp227,false,20,0.019259044092790695
dgrp227,false,21,0.005782505496449819
dgrp227,false,22,0.032778457127660476
dgrp227,false,23,0.02453587613325306
dgrp227,false,24,0.02679396256038097
dgrp227,false,49,0.009895640603628325
dgrp227,false,50,0.00896298167781176
dgrp227,false,51,0.017924141744526556
dgrp227,false,52,0.011823667239362567
dgrp227,false,53,0.0098488761459537
dgrp227,false,54,0.00438563952447249
dgrp227,false,55,0.02456626040944976
dgrp227,false,56,0.03433215987386998
dgrp227,false,25,0.008464009134911576
dgrp227,false,26,0.0006164819218132112
dgrp227,false,27,0.030288389186810538
dgrp227,false,28,0.011276662888946215
dgrp227,false,29,0.01569347861774345
dgrp227,false,30,0.03525916692723016
dgrp227,false,31,0.005027694972721902
dgrp227,false,32,0.005267685611169387
dgrp227,false,57,0.029140821723631333
dgrp227,false,58,0.01902927405321217
dgrp227,false,59,0.008656561039422167
dgrp227,false,60,0.031649791149288314
dgrp227,false,61,0.0058256156156243355
dgrp227,false,62,0.0071846130065057745
dgrp227,false,63,0.01929423113973816
dgrp227,false,64,0.0041948571878728524
dgrp227,true,1,0.009771272931947073
dgrp227,true,2,0.0004790369027261876
